FROM,TO,"NO. OF 
BENGALURU,MERCARA MADIKERI,18,"0800, 0832, 1006, 1205, 1331, 1515, 1830, 
2105, 2201, 2215, 2228, 2236, 2300, 2331, 
2333, 2345, 2357, 2359"
BENGALURU,MURDESHWARA,1,2130
BENGALURU,MYSURU,1,"0646,"
BENGALURU,PAVAGADA,1,2131
BENGALURU,PUTTUR,5,"2140, 2152, 2159, 2236, 2302"
FROM,TO,"NO. OF 
SERVICES",TIMING
BENGALURU,RAICHUR,5,"2037, 2059, 2152, 2208, 2235"
BENGALURU,RON,1,2122
BENGALURU,SADALGA,1,1945
BENGALURU,SAGARA,2,"2230, 2325"
BENGALURU,SAKALESHPUR,1,"0831,"
BENGALURU,SAUNDATTI,1,2130
BENGALURU,SHAHAPUR,1,2045
BENGALURU,SHAKTINAGAR DEVASUGURU,1,1931
BENGALURU,SHIVAMOGGA,33,"0600, 0630, 0730, 0.801, 0830,0901, 1007, 
1031, 1129, 1201, 1244, 1331, 1346, 1400, 
1416, 1431, 1446, 1501, 1514, 1601, 1730, 
2131, 2159, 2200, 2230, 2302, 2304, 2310, 
2316, 2319, 2331, 2347, 2358"
BENGALURU,SIGANDUR,2,"0830, 2200"
BENGALURU,SINDHANOOR,2,"2144, 2246"
BENGALURU,SIRSI,8,"0631, 1205, 2059, 2131, 2150, 2206, 2229, 
2247"
BENGALURU,SIRUGUPPA,2,"2244, 2330"
BENGALURU,SOMVARPET,5,"2015, 2100, 2145, 2159, 2259"
BENGALURU,SRINGERI,11,"0801, 2044, 2114, 2129, 2131, 2143, 2201, 
2216, 2228, 2233, 2331"
BENGALURU,SULLYA,2,"2230, 2240"
BENGALURU,TALIKOTE,2,"1940, 2005"
BENGALURU,UDUPI,5,"1950, 2002, 2032, 2102, 2131"
BENGALURU,VIDYANAGAR JINDAL,1,2246
BENGALURU,VIJAYAPURA,3,"1600, 1947, 2030"
BENGALURU,VIRAJAPETE,8,"0545, 0634, 0921, 1301, 1431, 2232, 2300, 
2344"
BENGALURU,YELBURGA,3,"2045, 2231, 2345"
BHATKAL,BENGALURU,2,"1615, 1901"
BIDAR,BALLARI,2,"2000, 2030"
BIDAR,BELAGAVI,2,"1800, 2200"
BIDAR,BENGALURU,5,"1536, 1632, 1701, 1801, 1832"
BIDAR,DAVANAGERE,2,"1430, 1800"
BIDAR,HUBBALLI,1,1845
BIDAR,SHIVAMOGGA,1,1530
BILAGI,BENGALURU,1,1913
BILAGI,MANGALURU,1,1530
BYNDOOR,BENGALURU,1,2001
CHALLAKERE,DHARMASTALA,1,1430
CHIKKAMAGALURU,BENGALURU,17,"0400, 0430, 0445, 0501, 1130, 1201, 1331, 
1400, 1432, 1500, 1611, 2300, 2305,  2330, 
2335, 2358, 2359"
CHIKKAMAGALURU,KARWAR,1,"0600,"
CHIKKAMAGALURU,MANGALURU,1,"0800,"
CHIKKAMAGALURU,UDUPI,1,"0630,"
CHIKKAMAGALURU,VIJAYAPURA,1,1400
CHIKKODI,BENGALURU,2,"1530, 1901"
CHIKKODI,KALABURAGI,1,1040
CHITRADURGA,BENGALURU,4,"0501, 0600, 0900, 1030"
CHITRADURGA,DHARMASTALA,2,"0500, 2145"
CHITRADURGA,MANGALURU,1,2100
CHITRADURGA,MYSURU,2,"0945, 1330"
DANDELI,BENGALURU,4,"0745, 1701, 1759, 1930"
DANDELI,KALABURAGI,2,"0700, 2000"
DANDELI,SHAKTINAGAR DEVASUGURU,2,"1515, 1730"
DAVANAGERE,BALLARI,1,1030
FROM,TO,"NO. OF 
SERVICES",TIMING
DAVANAGERE,BENGALURU,26,"0516, 0602, 0715, 0740, 0805, 0845, 0910, 
0945, 1000, 1029, 1130, 1230, 1300, 1401, 
1500, 1605, 1700, 1745, 1830, 2245, 2315, 
2330, 2343, 2344, 2359"
DAVANAGERE,BIDAR,2,"1700, 1830"
DAVANAGERE,KALABURAGI,2,"1902, 2001"
DAVANAGERE,MANGALURU,1,2200
DAVANAGERE,MYSURU,2,"1931, 2231"
DAVANAGERE,RAICHUR,2,"2000, 2102"
DEVADURGA,BENGALURU,2,"1732, 1900"
DHARMASTALA,ANEKAL,1,2130
DHARMASTALA,BALLARI,1,2030
DHARMASTALA,BENGALURU,17,"0920, 0930, 1015, 1030, 1045, 1215, 1317, 
1331, 1400, 2001, 2031, 2145, 2150, 2201, 
2203, 2215, 2301"
DHARMASTALA,CHITRADURGA,1,2005
DHARMASTALA,HOSAPETE,5,"0800, 0915, 1045, 1135, 1645"
DHARMASTALA,HUBBALLI,1,"0830,"
DHARMASTALA,MYSURU,8,"1000, 1030, 1100, 1201, 1214, 1330, 1400, 
2230"
DHARMASTALA,TUMAKURU,2,"1330, 2100"
DHARWAD,BENGALURU,2,"2031, 2104"
DHARWAD,KALABURAGI,2,"1832, 2000"
DHARWAD,RAICHUR,1,2132
DHARWAD,YADAGIRI,1,2018
DONIMALAI,BENGALURU,2,"1930, 2200"
DONIMALAI,KOLAR,1,2100
DONIMALAI,MANIPAL,1,1816
GADAG,BENGALURU,3,"1830, 1930, 2145"
GADAG,MYSURU,1,"0630,"
GAJENDRAGADA,ARASIKERE,1,"0800,"
GAJENDRAGADA,BENGALURU,1,1930
GAJENDRAGADA,MANGALURU,1,1700
GANGAVATHI,BENGALURU,8,"1930, 2015, 2045, 2101, 2115, 2132, 2135, 
2145"
GANGAVATHI,MANGALURU,1,1730
GOKAK,BENGALURU,1,1829
GOKARNA,BENGALURU,4,"1700, 1905, 1910, 1959"
GOKARNA,KUKKESUBRAMANYA,1,"0845,"
HAGARIBOMMANAHALLI,BENGALURU,1,2145
HALIYAL,DHARMASTALA,1,"0645,"
HAMPI,BENGALURU,1,2000
HANAGAL,BENGALURU,1,2030
HARAPANAHALLI,BENGALURU,1,2145
HARAPANAHALLI,MANGALURU,1,1945
HARAPANAHALLI,MANIPAL,1,2045
HARIHARA,BENGALURU,5,"1230, 1330, 1400, 1530, 2100"
HASSAN,BELAGAVI,1,1900
HASSAN,BENGALURU,27,"0430, 0502, 0530, 0600, 0631, 0700, 0800, 
0900, 0930, 1000, 1030, 1100, 1130, 1201, 
1230, 1301, 1330, 1405, 1430, 1502, 1530, 
1602, 1630, 1700, 1730, 1830, 1900"
HATTI,BENGALURU,1,2015
HAVERI,DHARMASTALA,1,"0830,"
HAVERI,KALABURAGI,1,"0630,"
HEGGODU SAGAR,BENGALURU,1,2014
HIREKERUR,BENGALURU,1,2031
FROM,TO,"NO. OF 
SERVICES",TIMING
HORANADU,BENGALURU,9,"0815, 0903, 1245, 1345, 1445, 2030, 2115, 
2130, 2145"
HORANADU,DODDABALLAPURA,1,"0730.,"
HORANADU,GUNDLUPET,1,"0700,"
HORANADU,KUKKESUBRAMANYA,1,"0945,"
