yhat
-14
45
60
72
67
151
183
366
514
712
1004
1372
1901
2425
3114
3746
4369
4995
5577
6181
6630
7096
7372
7533
7634
7677
7794
7878
8179
8568
9198
10195
11629
13679
16275
19682
23767
28653
34412
41034
48596
56900
66065
75793
86028
96657
107479
118385
128997
139272
148767
157312
