yhat
-40
57
105
-104
-45
27
-50
87
246
366
248
429
661
786
1174
1638
2121
2431
3112
3927
4730
5909
7293
8846
10401
12527
15013
17739
21119
25003
29374
34079
39694
46004
52878
60708
69310
78622
88430
99240
110756
122752
135515
148752
162283
175772
189605
203366
216715
229836
242340
253971
